name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
apatosaurus,Apatosaurus,herbivorous,Herbivorous,Late Jurassic 154-145 million years ago,Late Jurassic ,154-145 million years ago,154,USA,37.0902,-95.7129,sauropod,Sauropod,21.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1877),ajax,Ajax,https://www.nhm.ac.uk/discover/dino-directory/apatosaurus.html
saurophaganax,Saurophaganax,carnivorous,Carnivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,large theropod,Large Theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),maximus,Maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html
othnielia,Othnielia,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,euornithopod,Euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Marsh (1877),rex,Rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html
marshosaurus,Marshosaurus,carnivorous,Carnivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,large theropod,Large Theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Madsen (1976),bicentesimus,Bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html
hesperosaurus,Hesperosaurus,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Carpenter Miles and Cloward (2001),mjosi,Mjosi,https://www.nhm.ac.uk/discover/dino-directory/hesperosaurus.html
haplocanthosaurus,Haplocanthosaurus,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,sauropod,Sauropod,21.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Hatcher (1903),priscus,Priscus,https://www.nhm.ac.uk/discover/dino-directory/haplocanthosaurus.html
gargoyleosaurus,Gargoyleosaurus,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,USA,37.0902,-95.7129,armoured dinosaur,Armoured Dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),parkpinorum,Parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html
euhelopus,Euhelopus,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,China,35.8617,104.1954,sauropod,Sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Wiman (1929),zdanskyi,Zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html
giraffatitan,Giraffatitan,herbivorous,Herbivorous,Late Jurassic 154-142 million years ago,Late Jurassic ,154-142 million years ago,154,Tanzania,6.369,34.8888,sauropod,Sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Janensch (1914),brancai,Brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html
ceratosaurus,Ceratosaurus,carnivorous,Carnivorous,Late Jurassic 153-148 million years ago,Late Jurassic ,153-148 million years ago,153,USA,37.0902,-95.7129,large theropod,Large Theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),nasicornis,Nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html
chaoyangsaurus,Chaoyangsaurus,herbivorous,Herbivorous,Late Jurassic 152-145 million years ago,Late Jurassic ,152-145 million years ago,152,China,35.8617,104.1954,ceratopsian,Ceratopsian,1.1m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Zhao Cheng and Xu (1999),youngi,Youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html
ornitholestes,Ornitholestes,carnivorous,Carnivorous,Late Jurassic 150-144 million years ago,Late Jurassic ,150-144 million years ago,150,USA,37.0902,-95.7129,small theropod,Small Theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Osbourne (1933),hermanni,Hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html
camarasaurus,Camarasaurus,herbivorous,Herbivorous,Late Jurassic 150-140 million years ago,Late Jurassic ,150-140 million years ago,150,USA,37.0902,-95.7129,sauropod,Sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Camarasauridae,Cope (1877),supremus,Supremus,https://www.nhm.ac.uk/discover/dino-directory/camarasaurus.html
